App,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Mortgage by Zillow: Calculator & Rates,"September 11, 2018",12M,"1,000,000+",2.5.22.305,4.4 and up,Everyone,,,View details,Flag as inappropriate,Zillow,Visit website,
Home Security Camera WardenCam - reuse old phones,"January 17, 2020",29M,"5,000,000+",2.7.6,4.1 and up,Everyone,"Users Interact, In-App Purchases",$5.99 per item,View details,Flag as inappropriate,"WardenCam360 - Home Security, Video Monitoring",Visit website,
Rent.com Apartment Homes,"February 26, 2020",6.5M,"1,000,000+",8.1.2,5.0 and up,Everyone,,,View details,Flag as inappropriate,"RentPath, LLC",Visit website,
Apartments.com Rental Search,"April 9, 2020",16M,"5,000,000+",6.3,4.4 and up,Everyone,,,View details,Flag as inappropriate,Apartments.com,Visit website,
Hemnet,"April 7, 2020",9.5M,"1,000,000+",4.16.0,5.0 and up,Everyone,,,View details,Flag as inappropriate,Hemnet AB,Visit website,
Ruler,"November 14, 2018",1.3M,"1,000,000+",3.6.2,4.1 and up,Everyone,,,View details,Flag as inappropriate,Xalpha Lab,xalphalab@gmail.com,
iProperty Malaysia,"March 2, 2020",27M,"100,000+",5.1.9,5.0 and up,Everyone,,,View details,Flag as inappropriate,iProperty Group,Visit website,
ColorSnap® Visualizer,"April 1, 2020",23M,"1,000,000+",7.3.0,4.4 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Sherwin-Williams,Visit website,
Apartment Decorating Ideas,"April 4, 2020",13M,"10,000+",4,4.1 and up,Everyone,,,View details,Flag as inappropriate,Devege,ilknurboni@gmail.com,
Bedroom Decorating Ideas,"April 7, 2015",5.9M,"500,000+",1.7,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,ZaleBox,zaleboxonline@gmail.com,
Room Painting Ideas,"March 17, 2015",7.6M,"1,000,000+",1.7,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,ZaleBox,zaleboxonline@gmail.com,
Kitchen Island Ideas,"May 30, 2015",5.8M,"50,000+",1.5,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,ZaleBox,zaleboxonline@gmail.com,
Living Room Decorating Ideas,"March 6, 2015",5.8M,"1,000,000+",1.7,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,ZaleBox,zaleboxonline@gmail.com,
Bathroom Decorating Ideas,"March 12, 2015",5.3M,"500,000+",1.4,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,ZaleBox,zaleboxonline@gmail.com,
Wall Decorating Ideas,"March 11, 2015",5.5M,"1,000,000+",1.5,3.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,ZaleBox,zaleboxonline@gmail.com,
Zumper - Apartment Rental Finder,"April 11, 2020",14M,"1,000,000+",4.9.34,6.0 and up,Everyone,"Shares Info, Digital Purchases",,View details,Flag as inappropriate,"Zumper, Inc",Visit website,
Homesnap Real Estate & Rentals,"April 10, 2020",24M,"1,000,000+",6.1.0,5.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Homesnap,Visit website,
Call Recorder,"November 14, 2019",3.4M,"10,000,000+",1.5.49,4.1 and up,Everyone,Users Interact,,View details,Flag as inappropriate,lovekara,Visit website,
eBiblio,"April 7, 2020",11M,"100,000+",3.4.23,4.4 and up,Everyone,,,View details,Flag as inappropriate,Odilo,Visit website,
Binaural Beats Meditation,"March 13, 2020",95M,"100,000+",10.0,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Selfhealing MediApps,sionovliorDeveloper@gmail.com,
Essential Resources,"September 27, 2017",8.5k,"100,000+",1.02,7.1 and up,Everyone,,,View details,Flag as inappropriate,Essential Products,Visit website,
Cardboard,"February 19, 2019",48M,"10,000,000+",1.9,4.4 and up,Everyone,,,View details,Flag as inappropriate,Google LLC,Visit website,
Apk Installer,"February 27, 2020",3.5M,"10,000,000+",4.9.7,4.4 and up,Everyone,,,View details,Flag as inappropriate,Braveheart,Visit website,
V380s,"July 11, 2018",8.1M,"1,000,000+",5.9.1,4.1 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,macrovideo,minlai921915897@gmail.com,
Wifi Test,"March 5, 2019",3.0M,"1,000,000+",3.6,4.0 and up,Everyone,,,View details,Flag as inappropriate,Hùng Minh,nhimdauheo93@gmail.com,
Market Update Helper,"February 12, 2013",11k,"1,000,000+", ,1.5 and up,Everyone,,,View details,Flag as inappropriate,Titanium Track,Visit website,
Barcode Scanner,"March 16, 2020",3.3M,"10,000,000+",1.58,4.4 and up,Everyone,"Users Interact, Unrestricted Internet, In-App Purchases",$8.99 per item,View details,Flag as inappropriate,Barcode Scanner,Visit website,
EyeCloud,"March 26, 2020",78M,"100,000+",5.3.9,4.4 and up,Everyone,Users Interact,$0.99 - $169.99 per item,View details,Flag as inappropriate,Lukeyan,Visit website,
Dollhouse Decorating Games,"January 22, 2020",35M,"5,000,000+",6.1.4,4.1 and up,Teen,,,View details,Flag as inappropriate,Beauty Mania Apps and Games,beautymaniaapps@gmail.com,
metroZONE,"March 12, 2020",16M,"10,000,000+",58.6.6069,6.0 and up,Everyone,"Users Interact, Digital Purchases",,View details,Flag as inappropriate,Mobile Posse,Visit website,
"Black Wallpaper, AMOLED, Dark Background: Darkify","September 25, 2018",80M,"10,000,000+",10.0,4.0 and up,Everyone,,,View details,Flag as inappropriate,Helper Team,helperdevs@gmail.com,
Easy Makeup Tutorials,"October 24, 2015",4.8M,"10,000+",1.0,2.3 and up,Everyone,,,View details,Flag as inappropriate,Danrundroid,lukinugroho10@gmail.com,
Entel,"March 11, 2020",15M,"5,000,000+",2.117,5.0 and up,Everyone,Shares Info,,View details,Flag as inappropriate,Entel,Visit website,
Live 4D Results ! (MY & SG),"March 25, 2020",4.6M,"5,000,000+",80,4.0 and up,Mature 17+,,,View details,Flag as inappropriate,MobiusX,Visit website,
Diary with lock,"June 30, 2018",4.4M,"50,000,000+",4.90,4.1 and up,Everyone,Digital Purchases,$2.99 per item,View details,Flag as inappropriate,WriteDiary.com,Visit website,
FOSSIL Q: DESIGN YOUR DIAL,"March 13, 2020",29M,"1,000,000+",3.2237,7.0 and up,Everyone,,,View details,Flag as inappropriate,"Fossil Group, Inc.",Visit website,
Family Locator - GPS Tracker,"May 26, 2019",6.5M,"10,000+",0.0.27,5.0 and up,Everyone,"Shares Location, In-App Purchases",,View details,Flag as inappropriate,XBLUEFOX Inc.,Visit website,
HTC Speak,"May 6, 2019",13M,"10,000,000+",9.00.1077879,7.0 and up,Everyone,,,View details,Flag as inappropriate,HTC Corporation,Visit website,
Anime Avatar Creator: Make Your Own Avatar,"February 20, 2020",40M,"1,000,000+",2.3.7,4.1 and up,Everyone,,,View details,Flag as inappropriate,Beauty Mania Apps and Games,beautymaniaapps@gmail.com,
H Pack,"December 17, 2016",1.7M,"1,000,000+",1.5.1,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,True Digital & Media Platform Company Limited,Visit website,
MK eCatalog,"August 14, 2019",6.3M,"1,000,000+",3.1.1,4.2 and up,Everyone,,,View details,Flag as inappropriate,"Mary Kay, Inc.",Visit website,
Vaniday - Beauty Booking App,"June 21, 2019",65M,"100,000+",3.14,7.0 and up,Everyone,"Users Interact, Shares Info",,View details,Flag as inappropriate,Vaniday,Visit website,
Mirror,"April 1, 2020",3.8M,"500,000+",1.3.1,4.1 and up,Everyone,Digital Purchases,$1.99 per item,View details,Flag as inappropriate,Studio 360 Apps,Visit website,
Wedding Countdown Widget,"January 11, 2018",19M,"1,000,000+",5.2.2018010801-1,4.1 and up,Everyone,,$2.99 per item,View details,Flag as inappropriate,"Sevenlogics, INC",Visit website,
My Day - Countdown Calendar 🗓️,"May 7, 2019",14M,"1,000,000+",2.9.9,4.1 and up,Everyone,,$0.99 - $3.99 per item,View details,Flag as inappropriate,Maple Media,Visit website,
justWink Greeting Cards,"March 24, 2020",7.7M,"1,000,000+",3.0.1,5.0 and up,Teen,Digital Purchases,$1.99 - $19.99 per item,View details,Flag as inappropriate,American Greetings,Visit website,
Big Days - Events Countdown,"April 6, 2020",24M,"1,000,000+",2.0.0,4.4 and up,Everyone,,,View details,Flag as inappropriate,Astrovic App,Visit website,
WedMeGood - Wedding Planner,"March 30, 2020",13M,"1,000,000+",30.1.0,4.4 and up,Everyone,Users Interact,,View details,Flag as inappropriate,wedmegood.com,Visit website,
DIY Garden Ideas,"November 27, 2019",15M,"500,000+",16.0,4.0 and up,Everyone,,,View details,Flag as inappropriate,Doknow,Visit website,
Creative Ideas - DIY & Craft,"March 11, 2019",4.8M,"500,000+",1.41,4.0 and up,Teen,Users Interact,$2.99 per item,View details,Flag as inappropriate,VizNext,Visit website,
My Dressing - Fashion closet,"January 26, 2017",Varies with device,"500,000+",Varies with device,Varies with device,Everyone,Digital Purchases,$0.99 - $4.99 per item,View details,Flag as inappropriate,Alexandre THOMAS,Visit website,
Scarf Fashion Designer,"June 18, 2017",10M,"1,000,000+",1.8,2.3 and up,Everyone,,$1.99 per item,View details,Flag as inappropriate,Artfonica,Visit website,
Zara,"April 10, 2020",29M,"10,000,000+",8.6.1,5.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,Inditex,Visit website,
Real Estate by Movoto,"April 9, 2020",7.3M,"100,000+",6.8,4.4 and up,Everyone,,,View details,Flag as inappropriate,Movoto Real Estate,Visit website,
Etta Homes,"April 6, 2020",18M,"100,000+",10.4.5,6.0 and up,Everyone,"Users Interact, Shares Info",,View details,Flag as inappropriate,CINC,Visit website,
Houlihan Lawrence,"March 5, 2019",23M,"5,000+",3.9.6,4.2 and up,Everyone,,,View details,Flag as inappropriate,Booj,Visit website,
Home Scouting® MLS Mobile,"September 27, 2016",7.7M,"100,000+",2.2.6,2.2 and up,Everyone,,,View details,Flag as inappropriate,Home Buyers Marketing II Inc,Visit website,
ZipRealty Real Estate & Homes,"January 9, 2020",20M,"100,000+",9.2.4,5.0 and up,Everyone,,,View details,Flag as inappropriate,ZapLabs LLC,Visit website,
Nature Sounds,"January 14, 2020",27M,"1,000,000+",3.4.0,4.0.3 and up,Everyone,Digital Purchases,$49.99 per item,View details,Flag as inappropriate,Sound Sleep - Relaxing Sounds and White Noise,Visit website,
White Noise Baby,"March 24, 2020",40M,"1,000,000+",Varies with device,Varies with device,Everyone,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,TMSOFT,Visit website,
7 Day Food Journal Challenge,"February 13, 2019",Varies with device,"100,000+",Varies with device,Varies with device,Teen,Users Interact,$0.99 - $29.99 per item,View details,Flag as inappropriate,YouFood,Visit website,
Subway Surfers,"March 26, 2020",93M,"1,000,000,000+",1.117.0,4.1 and up,Everyone 10+,Digital Purchases,$0.99 - $104.99 per item,View details,Flag as inappropriate,SYBO Games,Visit website,
Candy Crush Saga,"April 9, 2020",Varies with device,"1,000,000,000+",1.174.0.2,4.1 and up,Everyone,"Users Interact, Shares Info, Digital Purchases",$0.99 - $149.99 per item,View details,Flag as inappropriate,King,Visit website,
Solitaire,"March 18, 2020",11M,"1,000,000+",2.3,5.0 and up,Everyone,,,View details,Flag as inappropriate,Better for games,betterforsol@gmail.com,
Bubble Shooter,"April 9, 2020",Varies with device,"100,000,000+",10.3.3,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Bubble Shooter,Visit website,
Hello Kitty Nail Salon,"November 21, 2019",78M,"100,000,000+",1.9,4.1 and up,Everyone,Digital Purchases,$0.99 - $7.99 per item,View details,Flag as inappropriate,Budge Studios,Visit website,
slither.io,"December 20, 2019",Varies with device,"100,000,000+",Varies with device,2.3 and up,Everyone,Digital Purchases,$3.99 per item,View details,Flag as inappropriate,Lowtech Studios,Visit website,
Clash Royale,"November 28, 2019",106M,"100,000,000+",3.2.1,4.1 and up,Everyone 10+,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Supercell,Visit website,
Temple Run 2,"March 31, 2020",88M,"500,000,000+",1.66.0,4.1 and up,Everyone,In-Game Purchases,$0.99 - $49.99 per item,View details,Flag as inappropriate,Imangi Studios,Visit website,
Pou,"December 4, 2019",24M,"500,000,000+",1.4.79,4.0 and up,Everyone,Digital Purchases,$0.99 - $24.99 per item,View details,Flag as inappropriate,Zakeh,Visit website,
Helix Jump,"March 4, 2020",43M,"100,000,000+",3.5.3,4.4 and up,Everyone,,$3.49 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Block Puzzle,"March 4, 2020",10M,"10,000,000+",4.01,4.0 and up,Everyone,,,View details,Flag as inappropriate,Fast Fun,Visit website,
Plants vs. Zombies FREE,"April 3, 2020",93M,"100,000,000+",2.9.04,4.1 and up,Everyone 10+,Digital Purchases,$0.99 - $3.99 per item,View details,Flag as inappropriate,ELECTRONIC ARTS,Visit website,
Sonic Dash,"February 25, 2020",Varies with device,"100,000,000+",4.8.2,4.1 and up,Everyone,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,SEGA,Visit website,
Candy Crush Soda Saga,"April 1, 2020",Varies with device,"100,000,000+",1.163.5,4.1 and up,Everyone,"Shares Info, Digital Purchases",$0.99 - $149.99 per item,View details,Flag as inappropriate,King,Visit website,
Zombie Hunter King,"April 7, 2020",50M,"50,000,000+",1.0.38,2.3 and up,Teen,"Users Interact, In-Game Purchases",$1.99 - $99.99 per item,View details,Flag as inappropriate,mobirix,Visit website,
Clash of Clans,"April 9, 2020",143M,"500,000,000+",13.180.10,4.1 and up,Everyone 10+,"Users Interact, Digital Purchases",$0.99 - $100.00 per item,View details,Flag as inappropriate,Supercell,Visit website,
Kick the Buddy,"August 1, 2019",Varies with device,"100,000,000+",Varies with device,Varies with device,Teen,Digital Purchases,$0.99 - $94.99 per item,View details,Flag as inappropriate,Playgendary,Visit website,
Block Puzzle Classic Legend !,"July 12, 2019",9.3M,"5,000,000+",3.8,4.0 and up,Everyone,,,View details,Flag as inappropriate,MobiClassicGame,mobigameclassicvn@gmail.com,
PAC-MAN,"March 13, 2020",60M,"100,000,000+",8.0.3,4.4 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,BANDAI NAMCO Entertainment America Inc.,Visit website,
Super Jim Jump - pixel 3d,"February 20, 2020",20M,"10,000,000+",3.3.5002,4.1 and up,Everyone,In-Game Purchases,$0.99 - $19.99 per item,View details,Flag as inappropriate,gameone,Visit website,
8 Ball Pool,"April 3, 2020",59M,"500,000,000+",4.8.4,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Miniclip.com,Visit website,
Magic Tiles 3,"April 9, 2020",63M,"100,000,000+",7.044.001,4.1 and up,Everyone,Digital Purchases,$0.99 - $19.99 per item,View details,Flag as inappropriate,AMANOTES,Visit website,
Bubble Witch 3 Saga,"March 31, 2020",87M,"50,000,000+",6.8.4,4.0.3 and up,Everyone,"Shares Info, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,King,Visit website,
Word Search,"September 4, 2019",5.0M,"10,000,000+",1.2.5,4.0 and up,Everyone,,$0.99 - $1.99 per item,View details,Flag as inappropriate,Wordloco,wordloco.contact@gmail.com,
Granny,"April 18, 2019",100M,"100,000,000+",1.7.3,4.1 and up,Mature 17+,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,DVloper,Visit website,
Flow Free,"December 17, 2019",11M,"100,000,000+",4.5,4.1 and up,Everyone,Digital Purchases,$0.99 - $9.99 per item,View details,Flag as inappropriate,Big Duck Games LLC,Visit website,
Race the Traffic Moto,"July 31, 2019",41M,"10,000,000+",1.0.18,4.1 and up,Teen,"Users Interact, Shares Info, Digital Purchases",$0.99 - $7.99 per item,View details,Flag as inappropriate,Play365,TameikaHastin@gmail.com,
Fishdom,"April 1, 2020",123M,"100,000,000+",4.75.0,4.2 and up,Everyone,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Playrix,Visit website,
Galaxy Attack: Alien Shooter,"April 11, 2020",81M,"100,000,000+",23.7,4.1 and up,Everyone,"Users Interact, In-Game Purchases",$0.99 - $199.99 per item,View details,Flag as inappropriate,ONESOFT,Visit website,
Zombie Tsunami,"December 16, 2019",Varies with device,"100,000,000+",Varies with device,Varies with device,Everyone,,$1.31 - $132.54 per item,View details,Flag as inappropriate,Mobigame S.A.R.L.,Visit website,
Bubble Shooter 2,"April 1, 2020",22M,"10,000,000+",8.7,4.1 and up,Everyone,Digital Purchases,$0.99 - $104.99 per item,View details,Flag as inappropriate,Bubble Shooter Artworks,Visit website,
Barbie™ Fashion Closet,"February 11, 2020",72M,"10,000,000+",1.7.0,4.1 and up,Everyone,Digital Purchases,$0.99 - $23.99 per item,View details,Flag as inappropriate,Mattel,Visit website,
Candy Crush Jelly Saga,"April 7, 2020",92M,"100,000,000+",2.40.11,4.0.3 and up,Everyone,Digital Purchases,$0.99 - $129.99 per item,View details,Flag as inappropriate,King,Visit website,
Hill Climb Racing,"February 24, 2020",74M,"500,000,000+",1.45.6,4.2 and up,Everyone,Digital Purchases,$2.50 - $123.00 per item,View details,Flag as inappropriate,Fingersoft,Visit website,
Gardenscapes,"April 8, 2020",148M,"100,000,000+",4.3.0,4.2 and up,Everyone,Digital Purchases,$0.49 - $99.99 per item,View details,Flag as inappropriate,Playrix,Visit website,
Marble - Temple Quest,"April 9, 2020",28M,"10,000,000+",7.6,4.0.3 and up,Everyone,Digital Purchases,,View details,Flag as inappropriate,Jungle Adventure,nctappsmix@gmail.com,
Shooting King,"November 27, 2019",79M,"10,000,000+",1.5.5,4.1 and up,Everyone 10+,"Users Interact, In-Game Purchases",$2.99 - $99.99 per item,View details,Flag as inappropriate,mobirix,Visit website,
Minion Rush: Despicable Me Official Game,"March 18, 2020",74M,"100,000,000+",7.1.0f,4.1 and up,Everyone 10+,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Gameloft SE,android.support@gameloft.com,
Farm Heroes Saga,"April 8, 2020",Varies with device,"100,000,000+",Varies with device,Varies with device,Everyone,"Users Interact, Shares Info, Digital Purchases",$0.99 - $239.99 per item,View details,Flag as inappropriate,King,Visit website,
Geometry Dash World,"December 17, 2019",63M,"50,000,000+",1.03,4.0 and up,Everyone,Users Interact,,View details,Flag as inappropriate,RobTop Games,Visit website,
My Talking Angela,"April 8, 2020",94M,"500,000,000+",4.5.5.657,4.4 and up,Everyone,"Users Interact, Digital Purchases",$0.99 - $109.99 per item,View details,Flag as inappropriate,Outfit7 Limited,Visit website,
Cut the Rope FULL FREE,"April 3, 2020",48M,"100,000,000+",3.20.1,4.2 and up,Everyone,Digital Purchases,$0.99 - $197.99 per item,View details,Flag as inappropriate,ZeptoLab,Visit website,
Cooking Fever,"March 11, 2020",115M,"100,000,000+",8.0.1,4.1 and up,Everyone,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Nordcurrent,Visit website,
Toon Blast,"April 11, 2020",122M,"50,000,000+",5001,4.1 and up,Everyone,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Peak,Visit website,
Score! Hero,"February 21, 2020",95M,"100,000,000+",2.40,4.4 and up,Everyone,Digital Purchases,$0.99 - $29.99 per item,View details,Flag as inappropriate,First Touch Games Ltd.,Visit website,
Toy Blast,"April 1, 2020",129M,"50,000,000+",7047,4.1 and up,Everyone,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Peak,Visit website,
Wordscapes,"April 2, 2020",109M,"10,000,000+",1.7.0,4.1 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,PeopleFun,Visit website,
Bowmasters,"March 31, 2020",Varies with device,"100,000,000+",2.14.4,4.1 and up,Teen,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Miniclip.com,Visit website,
My Talking Tom,"March 12, 2020",Varies with device,"500,000,000+",5.8.6.609,4.4 and up,Everyone,"Users Interact, Digital Purchases",$0.99 - $109.99 per item,View details,Flag as inappropriate,Outfit7 Limited,Visit website,
Jungle Marble Blast,"April 1, 2020",39M,"10,000,000+",2.4.9,4.1 and up,Everyone,Digital Purchases,$0.99 - $149.99 per item,View details,Flag as inappropriate,coolstudios,jialu19870906@gmail.com,
Rider,"March 27, 2020",75M,"50,000,000+",1.4.1,5.0 and up,Teen,,$0.99 - $19.99 per item,View details,Flag as inappropriate,Ketchapp,Visit website,
Roll the Ball® - slide puzzle,"April 6, 2020",45M,"100,000,000+",7.0.4,4.2 and up,Everyone,Digital Purchases,$0.99 - $39.99 per item,View details,Flag as inappropriate,BitMango,Visit website,
Talking Tom Gold Run,"March 11, 2020",87M,"100,000,000+",4.2.0.551,4.4 and up,Everyone,Digital Purchases,$0.99 - $109.99 per item,View details,Flag as inappropriate,Outfit7 Limited,Visit website,
Fruits Bomb,"February 27, 2020",21M,"10,000,000+",7.8.5002,4.1 and up,Everyone,,,View details,Flag as inappropriate,Mobileguru,Visit website,
Traffic Racer,"March 16, 2020",53M,"100,000,000+",3.2,4.1 and up,Everyone,In-Game Purchases,$1.99 - $59.99 per item,View details,Flag as inappropriate,Soner Kara,Visit website,
Hill Climb Racing 2,"April 3, 2020",113M,"100,000,000+",1.35.2,4.2 and up,Everyone,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Fingersoft,Visit website,
Knife Hit,"March 3, 2020",56M,"50,000,000+",1.8.6,4.1 and up,Everyone,,$1.99 - $19.99 per item,View details,Flag as inappropriate,Ketchapp,Visit website,
Block Craft 3D: Building Simulator Games For Free,"November 7, 2019",57M,"100,000,000+",2.11.0,4.0.3 and up,Teen,"Users Interact, Shares Location, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,Fun Games For Free,Visit website,
Farm Fruit Pop: Party Time,"January 15, 2020",25M,"10,000,000+",2.5,4.0.3 and up,Everyone,,,View details,Flag as inappropriate,Blast Crush Game,WelshTuckerman@gmail.com,
Love Balls,"March 17, 2020",55M,"100,000,000+",1.5.3,4.1 and up,Teen,Digital Purchases,$0.99 - $19.99 per item,View details,Flag as inappropriate,Lion Studios,Visit website,
Hungry Shark Evolution,"March 11, 2020",Varies with device,"100,000,000+",Varies with device,4.1 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Ubisoft Entertainment,Visit website,
Pokémon GO,"April 10, 2020",Varies with device,"100,000,000+",0.171.4,5.0 and up,Everyone,"Users Interact, Shares Info, Shares Location, Digital Purchases",$0.99 - $99.99 per item,View details,Flag as inappropriate,"Niantic, Inc.",Visit website,
Paint Hit,"August 30, 2018",35M,"10,000,000+",6.000,5.0 and up,Everyone,Digital Purchases,$0.99 - $10.99 per item,View details,Flag as inappropriate,MAG Interactive,painthit@maginteractive.com,
Snake VS Block,"June 5, 2019",37M,"50,000,000+",1.34,4.4 and up,Everyone,Digital Purchases,$0.99 - $2.99 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Rolly Vortex,"February 21, 2020",61M,"10,000,000+",1.9.2,4.4 and up,Everyone,Digital Purchases,$0.99 - $4.49 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Stack Jump,"March 27, 2020",40M,"10,000,000+",1.4.9,4.4 and up,Everyone,Digital Purchases,$3.49 per item,View details,Flag as inappropriate,VOODOO,Visit website,
The Cube,"January 31, 2020",23M,"50,000+",2.28,4.4 and up,Everyone,Digital Purchases,$0.99 per item,View details,Flag as inappropriate,All3Media International Ltd,Visit website,
Extreme Car Driving Simulator,"April 1, 2020",53M,"100,000,000+",Varies with device,4.1 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,AxesInMotion Racing,Visit website,
The Fish Master!,"July 22, 2019",68M,"5,000,000+",1.6.8,4.4 and up,Everyone,Digital Purchases,$3.49 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Color Road,"March 16, 2020",111M,"50,000,000+",3.19.4,4.4 and up,Everyone,,$0.99 - $4.49 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Draw In,"March 18, 2020",89M,"10,000,000+",1.2.9,4.1 and up,Teen,Digital Purchases,$3.99 per item,View details,Flag as inappropriate,Lion Studios,Visit website,
PLANK!,"March 30, 2020",51M,"5,000,000+",1.0.12,4.4W and up,Everyone,,$2.49 - $3.99 per item,View details,Flag as inappropriate,Kwalee Ltd,Visit website,
Looper!,"March 19, 2020",76M,"10,000,000+",1.2.11,4.4W and up,Everyone,,$2.49 - $14.49 per item,View details,Flag as inappropriate,Kwalee Ltd,Visit website,
Trivia Crack,"April 10, 2020",35M,"100,000,000+",3.64.1,5.0 and up,Everyone,"Users Interact, Digital Purchases",$0.99 - $199.99 per item,View details,Flag as inappropriate,Etermax,Visit website,
Will it Crush?,"April 4, 2020",32M,"5,000,000+",1.4.5,5.0 and up,Everyone,Digital Purchases,$1.99 - $99.99 per item,View details,Flag as inappropriate,hit rolls,Visit website,
Tomb of the Mask,"December 26, 2019",54M,"100,000,000+",1.5.1,5.0 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Playgendary Limited,Visit website,
Baseball Boy!,"March 27, 2020",75M,"10,000,000+",1.8.7,4.4 and up,Everyone,Digital Purchases,$0.99 - $8.99 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Episode - Choose Your Story,"April 8, 2020",53M,"50,000,000+",12.27.3,5.0 and up,Teen,"Users Interact, Digital Purchases",$0.25 - $99.99 per item,View details,Flag as inappropriate,Episode Interactive,Visit website,
Hello Stars,"February 22, 2020",51M,"50,000,000+",2.3.4,4.1 and up,Teen,,$0.99 - $49.99 per item,View details,Flag as inappropriate,Fastone Games,Visit website,
Run Sausage Run!,"March 30, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Everyone 10+,In-Game Purchases,$0.99 - $9.99 per item,View details,Flag as inappropriate,Crazy Labs by TabTale,Visit website,
Tank Stars,"January 14, 2020",92M,"100,000,000+",1.4.7,5.0 and up,Everyone 10+,,$1.99 - $94.99 per item,View details,Flag as inappropriate,Playgendary,Visit website,
Hole.io,"April 3, 2020",84M,"50,000,000+",1.7.7,4.4 and up,Teen,Digital Purchases,$0.99 - $3.99 per item,View details,Flag as inappropriate,VOODOO,Visit website,
Mini Golf King - Multiplayer Game,"February 26, 2020",99M,"10,000,000+",3.26.1,4.4 and up,Everyone,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,PNIX,Visit website,
Flip the Gun - Simulator Game,"July 26, 2018",86M,"10,000,000+",1.2,5.0 and up,Everyone,,$0.99 - $94.99 per item,View details,Flag as inappropriate,Playgendary,Visit website,
Mad Skills BMX 2,"March 12, 2020",74M,"10,000,000+",2.1.3,4.1 and up,Everyone,Digital Purchases,$0.99 - $59.99 per item,View details,Flag as inappropriate,Turborilla,Visit website,
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing","March 12, 2020",70M,"10,000,000+",8.00.11795,5.0 and up,Everyone,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Hutch Games,Visit website,
Word Link,"February 24, 2020",44M,"50,000,000+",2.6.8,4.1 and up,Everyone,Digital Purchases,$0.99 - $49.99 per item,View details,Flag as inappropriate,Worzzle Games,Visit website,
Last Day on Earth: Survival,"March 16, 2020",Varies with device,"50,000,000+",1.16.4,4.1 and up,Teen,In-Game Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,Kefir!,Visit website,
Harry Potter: Hogwarts Mystery,"March 2, 2020",Varies with device,"10,000,000+",2.5.0,5.0 and up,Teen,Digital Purchases,$0.99 - $99.99 per item,View details,Flag as inappropriate,"Jam City, Inc.",Visit website,
